source,participant_ID,target_word,comment,latency,duree_mot,condition,n_phonemes,Offset,Notes,word_duration,transcript,phoneme_count
s102poisson_ov2_bmpnaming,s102,poisson,ok,562.571,476.7627596,ov2,7,1030,FALSE,467.429,pwasɔ̃,5
s102poulet_neut_bmpnaming,s102,poulet,ok,653.915,337.2963592,neut,6,990,FALSE,336.085,pulɛ,4
s102poulet_ov2_bmpnaming,s102,poulet,ok,563.528,283.2848507,ov2,6,840,FALSE,276.472,pulɛ,4
s102raisin_neut_bmpnaming,s102,raisin,ok,624.849,437.6319728,neut,6,1058,FALSE,433.151,ʀɛzɛ̃,4
s102raisin_ov2_bmpnaming,s102,raisin,ok,477.55,424.3761383,ov2,6,897,FALSE,419.45,ʀɛzɛ̃,4
s102requin_neut_bmpnaming,s102,requin,ok,547.139,525.2628896,neut,6,1071,FALSE,523.861,ʀəkɛ̃,4
s102requin_ov2_bmpnaming,s102,requin,ok,470.1,450.8307547,ov2,6,920,FALSE,449.9,ʀəkɛ̃,4
s102robot_neut_bmpnaming,s102,robot,ok,515.028,339.5009106,neut,5,847,FALSE,331.972,ʀɔbo,4
s102robot_ov2_bmpnaming,s102,robot,ok,658.469,466.8422784,ov2,5,1093,FALSE,434.531,ʀɔbo,4
s102sifflet_neut_bmpnaming,s102,sifflet,ok,508.559,510.9333057,neut,7,1020,FALSE,511.441,siflɛ,5
s102sifflet_ov2_bmpnaming,s102,sifflet,ok,508.121,500.4331604,ov2,7,998,FALSE,489.879,siflɛ,5
s102tonneau_neut_bmpnaming,s102,tonneau,ok,715.349,299.818986,neut,7,1001,FALSE,285.651,tɔno,4
s102tonneau_ov2_bmpnaming,s102,tonneau,ok,600.048,351.1033316,ov2,7,949,FALSE,348.952,tɔno,4
s102tortue_neut_bmpnaming,s102,tortue,ok,721.298,430.4671808,neut,6,1149,FALSE,427.702,tɔʀty,5
s102tortue_ov2_bmpnaming,s102,tortue,ok,613.275,428.2626295,ov2,6,1038,FALSE,424.725,tɔʀty,5
